timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664746786239,0.09033203,-0.9746704,-0.018615723,-0.203125,0.546875,-0.125,Respeck,Sitting,0,s1925709,,Respeck_s1925709_Sitting_02-10-2022_22-40-16
1664746786269,0.08520508,-0.9668579,-0.019348145,-0.609375,0.21875,-0.421875,Respeck,Sitting,0,s1925709,,Respeck_s1925709_Sitting_02-10-2022_22-40-16
1664746786314,0.0871582,-0.97247314,-0.01763916,-0.765625,0.390625,-0.625,Respeck,Sitting,0,s1925709,,Respeck_s1925709_Sitting_02-10-2022_22-40-16
1664746786346,0.09277344,-0.9837036,-0.020568848,-0.75,-0.078125,-0.6875,Respeck,Sitting,0,s1925709,,Respeck_s1925709_Sitting_02-10-2022_22-40-16
1664746786390,0.08862305,-0.9746704,-0.018127441,-0.328125,-0.25,-0.359375,Respeck,Sitting,0,s1925709,,Respeck_s1925709_Sitting_02-10-2022_22-40-16
1664746786435,0.087646484,-0.973938,-0.018127441,-1.078125,-0.15625,-0.3125,Respeck,Sitting,0,s1925709,,Respeck_s1925709_Sitting_02-10-2022_22-40-16
1664746786465,0.0847168,-0.9746704,-0.014221191,-0.375,0.09375,-0.5625,Respeck,Sitting,0,s1925709,,Respeck_s1925709_Sitting_02-10-2022_22-40-16
1664746786511,0.09106445,-0.97320557,-0.011779785,-0.859375,-0.140625,-0.515625,Respeck,Sitting,0,s1925709,,Respeck_s1925709_Sitting_02-10-2022_22-40-16
1664746786556,0.08618164,-0.97003174,-0.019592285,-0.265625,-0.140625,-0.25,Respeck,Sitting,0,s1925709,,Respeck_s1925709_Sitting_02-10-2022_22-40-16
1664746786585,0.0847168,-0.9714966,-0.0095825195,-0.390625,0.390625,-0.21875,Respeck,Sitting,0,s1925709,,Respeck_s1925709_Sitting_02-10-2022_22-40-16
1664746786629,0.08984375,-0.97247314,-0.004699707,-0.15625,0.09375,-0.25,Respeck,Sitting,0,s1925709,,Respeck_s1925709_Sitting_02-10-2022_22-40-16
1664746786675,0.08496094,-0.9714966,-0.0049438477,-0.5,0.28125,-0.46875,Respeck,Sitting,0,s1925709,,Respeck_s1925709_Sitting_02-10-2022_22-40-16
1664746786705,0.08642578,-0.9702759,-0.0068969727,0.296875,0.265625,-0.265625,Respeck,Sitting,0,s1925709,,Respeck_s1925709_Sitting_02-10-2022_22-40-16
1664746786750,0.083984375,-0.97076416,-0.004699707,0.8125,0.59375,0.0,Respeck,Sitting,0,s1925709,,Respeck_s1925709_Sitting_02-10-2022_22-40-16
1664746786781,0.0871582,-0.97320557,-0.014221191,0.9375,0.984375,-0.109375,Respeck,Sitting,0,s1925709,,Respeck_s1925709_Sitting_02-10-2022_22-40-16
1664746786824,0.08911133,-0.96832275,-0.014465332,0.796875,0.859375,-0.140625,Respeck,Sitting,0,s1925709,,Respeck_s1925709_Sitting_02-10-2022_22-40-16
1664746786870,0.08618164,-0.97442627,-0.013244629,1.3125,1.1875,0.15625,Respeck,Sitting,0,s1925709,,Respeck_s1925709_Sitting_02-10-2022_22-40-16
1664746786903,0.08325195,-0.97784424,-0.018615723,-0.078125,0.65625,-0.09375,Respeck,Sitting,0,s1925709,,Respeck_s1925709_Sitting_02-10-2022_22-40-16
1664746786947,0.08569336,-0.9771118,-0.017150879,0.65625,1.171875,-0.125,Respeck,Sitting,0,s1925709,,Respeck_s1925709_Sitting_02-10-2022_22-40-16
1664746786990,0.095703125,-0.97125244,-0.016662598,-0.484375,0.53125,-0.296875,Respeck,Sitting,0,s1925709,,Respeck_s1925709_Sitting_02-10-2022_22-40-16
1664746787021,0.092041016,-0.97491455,-0.014709473,0.21875,0.734375,0.015625,Respeck,Sitting,0,s1925709,,Respeck_s1925709_Sitting_02-10-2022_22-40-16
1664746787065,0.0859375,-0.97052,-0.01373291,-0.125,0.421875,-0.09375,Respeck,Sitting,0,s1925709,,Respeck_s1925709_Sitting_02-10-2022_22-40-16
1664746787129,0.09301758,-0.96954346,-0.014221191,0.40625,0.578125,-0.125,Respeck,Sitting,0,s1925709,,Respeck_s1925709_Sitting_02-10-2022_22-40-16
1664746787141,0.095947266,-0.9763794,-0.012023926,-0.078125,0.234375,-0.25,Respeck,Sitting,0,s1925709,,Respeck_s1925709_Sitting_02-10-2022_22-40-16
1664746787187,0.09472656,-0.97320557,-0.01739502,0.1875,0.0625,-0.140625,Respeck,Sitting,0,s1925709,,Respeck_s1925709_Sitting_02-10-2022_22-40-16
1664746787215,0.09326172,-0.97540283,-0.017150879,0.0,0.140625,-0.15625,Respeck,Sitting,0,s1925709,,Respeck_s1925709_Sitting_02-10-2022_22-40-16
